1 | w 0 | f 2 | p 8 | 0.0008218913 3 0.0010294117 2 0.000754603 0 0.00016728 
1 | w 0 | f 2 | p 0.0008218913 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
2 | w 0 | f 8 | p 8 | 0.0008218913 3 0.0010294117 2 0.000754603 0 0.00016728 
2 | w 0 | f 8 | p 0.0008218913 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
3 | w 00 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
3 | w 00 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
4 | w 000 | f 7 | p 7 | 0.0007251982 0 0.0001470588 0 0.0001509206 0 0.00016728 
4 | w 000 | f 7 | p 0.0007251982 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
5 | w 1 | f 16 | p 16 | 0.001595436 1 0.0004411764 2 0.000754603 0 0.00016728 
5 | w 1 | f 16 | p 0.001595436 | 1 0.0004411764 2 0.000754603 0 0.00016728 0.00016728 
6 | w 10 | f 5 | p 5 | 0.000531812 0 0.0001470588 0 0.0001509206 0 0.00016728 
6 | w 10 | f 5 | p 0.000531812 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
7 | w 100 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
7 | w 100 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
8 | w 100b | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
8 | w 100b | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
9 | w 100mm | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
9 | w 100mm | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
10 | w 103 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
10 | w 103 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
11 | w 105b | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
11 | w 105b | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
12 | w 11 | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
12 | w 11 | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
13 | w 12 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
13 | w 12 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
14 | w 121gw | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
14 | w 121gw | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
15 | w 13 | f 1 | p 1 | 0.0001450396 1 0.0004411764 0 0.0001509206 0 0.00016728 
15 | w 13 | f 1 | p 0.0001450396 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
16 | w 13 | f 1 | p 1 | 0.0001450396 1 0.0004411764 0 0.0001509206 0 0.00016728 
16 | w 13 | f 1 | p 0.0001450396 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
17 | w 133mhz | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
17 | w 133mhz | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
18 | w 15 | f 1 | p 5 | 0.000531812 1 0.0004411764 0 0.0001509206 0 0.00016728 
18 | w 15 | f 1 | p 0.000531812 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
19 | w 15 | f 5 | p 5 | 0.000531812 1 0.0004411764 0 0.0001509206 0 0.00016728 
19 | w 15 | f 5 | p 0.000531812 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
20 | w 1890 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
20 | w 1890 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
21 | w 18cv321529 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
21 | w 18cv321529 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
22 | w 19 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
22 | w 19 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
23 | w 1920s | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
23 | w 1920s | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
24 | w 1933 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
24 | w 1933 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
25 | w 1990 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
25 | w 1990 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
26 | w 1996 | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
26 | w 1996 | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
27 | w 1999 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
27 | w 1999 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
28 | w 1b | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
28 | w 1b | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
29 | w 1tb | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
29 | w 1tb | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
30 | w 1tn | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
30 | w 1tn | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
31 | w 2 | f 1 | p 1 | 0.0001450396 3 0.0010294117 1 0.0004527618 0 0.00016728 
31 | w 2 | f 1 | p 0.0001450396 | 3 0.0010294117 1 0.0004527618 0 0.00016728 0.00016728 
32 | w 2 | f 13 | p 1 | 0.0001450396 3 0.0010294117 1 0.0004527618 0 0.00016728 
32 | w 2 | f 13 | p 0.0001450396 | 3 0.0010294117 1 0.0004527618 0 0.00016728 0.00016728 
33 | w 20 | f 4 | p 1 | 0.0001450396 3 0.0010294117 2 0.000754603 0 0.00016728 
33 | w 20 | f 4 | p 0.0001450396 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
34 | w 200 | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
34 | w 200 | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
35 | w 2001 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
35 | w 2001 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
36 | w 2002 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
36 | w 2002 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
37 | w 2003 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
37 | w 2003 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
38 | w 2004 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
38 | w 2004 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
39 | w 2005 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
39 | w 2005 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
40 | w 2007 | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
40 | w 2007 | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
41 | w 2009 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
41 | w 2009 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
42 | w 2010 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
42 | w 2010 | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
43 | w 2012 | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
43 | w 2012 | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
44 | w 2013 | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
44 | w 2013 | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
45 | w 2014 | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
45 | w 2014 | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
46 | w 2015 | f 4 | p 4 | 0.0004351189 0 0.0001470588 0 0.0001509206 0 0.00016728 
46 | w 2015 | f 4 | p 0.0004351189 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
47 | w 2016 | f 4 | p 4 | 0.0004351189 0 0.0001470588 0 0.0001509206 0 0.00016728 
47 | w 2016 | f 4 | p 0.0004351189 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
48 | w 2017 | f 19 | p 19 | 0.0018855153 0 0.0001470588 0 0.0001509206 0 0.00016728 
48 | w 2017 | f 19 | p 0.0018855153 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
49 | w 2018 | f 3 | p 20 | 0.0019822084 3 0.0010294117 2 0.000754603 0 0.00016728 
49 | w 2018 | f 3 | p 0.0019822084 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
50 | w 2018 | f 2 | p 20 | 0.0019822084 3 0.0010294117 2 0.000754603 0 0.00016728 
50 | w 2018 | f 2 | p 0.0019822084 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
51 | w 2018 | f 20 | p 20 | 0.0019822084 3 0.0010294117 2 0.000754603 0 0.00016728 
51 | w 2018 | f 20 | p 0.0019822084 | 3 0.0010294117 2 0.000754603 0 0.00016728 0.00016728 
52 | w 2019 | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
