,Word,Class,Frequency
0,1996,story,1
1,200,story,1
2,2005,story,1
3,2010,story,1
4,2012,story,1
5,2014,story,1
6,2017,story,4
9,2021,story,1
10,2min,story,1
11,3,story,3
12,300,story,1
13,37000,story,1
14,3x3,story,1
15,7,story,1
16,700,story,1
19,a,story,15
20,abstraction,story,1
21,abuse,story,1
23,ad,story,1
24,adhesive,story,1
25,agnostic,story,1
27,ai,story,1
28,airport,story,1
29,algebra,story,1
30,altacoin,story,1
32,amazon,story,3
35,an,story,1
36,analytics dataset,story,1
37,and,story,17
38,announce,story,1
40,any,story,1
41,api,story,1
42,app,story,1
43,appoint,story,1
44,apps,story,1
45,arctic,story,1
46,arrayudf,story,1
47,ash,story,1
49,ask,story,1
50,at,story,1
51,attack,story,1
52,august,story,1
53,author,story,1
54,awareness,story,1
55,b,story,1
56,back,story,1
57,bad,story,1
58,bargain,story,1
60,be,story,9
62,before,story,1
63,behind,story,1
64,benchmark,story,1
65,best,story,1
66,beta,story,1
67,beyond,story,1
68,bio,story,1
69,bitcoin competitor,story,1
70,block,story,1
73,blood,story,2
74,book,story,2
75,bore,story,1
76,both,story,1
77,box,story,2
78,break,story,1
79,breaking,story,1
80,breakthrough,story,2
81,breathing,story,1
83,build,story,1
85,by,story,4
86,byo,story,1
87,caffeinescript,story,1
88,california,story,1
89,call,story,1
90,camera,story,1
92,canadian,story,1
93,cap,story,1
94,case,story,1
95,catastrophe,story,1
96,centric,story,1
97,channel,story,1
98,chatroom,story,1
100,chip,story,1
102,cisco,story,1
103,cited,story,1
104,civilization,story,1
106,cixl,story,1
107,classical,story,1
108,classification,story,1
109,cloud,story,1
110,code,story,2
111,coffeescript,story,1
112,colon,story,1
113,come,story,1
114,community,story,1
115,company,story,1
116,complexity,story,1
117,computation,story,1
118,computer science,story,1
120,content,story,1
121,continuous,story,1
122,controversial,story,1
123,corporate,story,1
124,could,story,1
125,counting,story,1
126,craft,story,1
127,creates,story,1
128,crew,story,1
129,cross,story,2
131,crypto,story,1
133,cryptocurrency,story,1
134,cryptographic,story,1
135,cryptography,story,1
136,cultivate,story,1
137,cut,story,1
138,data science,story,1
139,data,story,1
140,database,story,1
141,day,story,1
142,death,story,1
144,decently,story,1
146,decentralize,story,1
147,deep,story,1
148,demo,story,1
149,depend,story,1
150,deploy,story,2
152,developer,story,1
153,die,story,1
155,discord,story,1
156,dive,story,1
157,division,story,1
159,do,story,1
161,domain,story,1
163,don,story,2
165,dragonfly,story,1
166,dream,story,1
167,drive,story,2
168,driver,story,1
169,drone,story,1
171,elimination,story,1
172,elusive,story,1
173,embody,story,1
174,emr,story,1
175,encryption,story,1
176,engine,story,1
177,engineering,story,1
178,enumerate,story,1
179,eval,story,1
181,exchange,story,1
183,facebook,story,1
185,factor,story,1
186,farewell,story,1
187,faster,story,1
188,fate,story,1
190,film,story,1
191,finally,story,1
192,find,story,2
193,first,story,1
195,fix,story,1
196,foot,story,1
199,for,story,9
200,ford,story,1
201,forecast,story,1
202,fossil haul,story,1
203,from,story,3
204,future,story,2
206,gaussian,story,1
207,generator,story,1
208,genome,story,1
209,get,story,3
210,giant,story,1
212,glass level,story,1
213,global,story,1
214,good,story,1
215,google,story,2
216,gopro,story,1
217,graphic,story,1
219,group,story,1
220,hacker news,story,1
221,happy,story,1
222,harassment,story,1
224,harry,story,1
226,have,story,2
227,high,story,1
228,him,story,1
229,history,story,1
230,hit,story,1
233,hn,story,2
234,housing bill,story,1
235,housing price,story,1
238,how,story,6
239,hundred,story,2
240,hunt,story,1
241,hyundai,story,1
243,i,story,2
244,idyll,story,1
245,if,story,1
246,illustrate,story,1
247,impact,story,1
248,important,story,1
252,in,story,8
253,index,story,1
254,industry,story,1
255,inference,story,1
256,ing,story,1
257,inspire,story,1
259,intel,story,1
260,interactive,story,1
261,interpretation,story,1
262,interrupt,story,1
263,intervene,story,1
264,into,story,2
265,introduction,story,2
266,investor,story,1
268,io,story,2
269,iota,story,1
270,iran moves,story,1
271,isolation patches,story,1
272,isp,story,1
273,it,story,4
274,japan,story,1
276,javascript,story,4
277,job board,story,1
278,job,story,2
279,judge,story,1
280,jumbo,story,1
281,just,story,1
282,key,story,1
284,language,story,2
285,large,story,1
286,largely,story,1
287,lead,story,1
290,learn,story,1
291,learning,story,1
292,lemma,story,1
293,library,story,2
295,linode,story,1
296,linux,story,1
297,lobby,story,1
298,logic,story,1
299,long,story,1
300,look,story,1
301,love,story,1
303,machine learning,story,1
304,madness,story,1
305,major,story,1
306,makeover,story,1
307,making,story,1
309,manual,story,1
310,massively,story,1
311,me,story,1
312,meaningful,story,1
313,mechanic,story,1
314,medium,story,2
315,meltdown,story,3
316,memory,story,1
317,menlo,story,1
318,microsoft,story,1
319,million,story,1
321,minimal,story,1
322,mobile,story,1
323,model,story,1
324,modem,story,1
325,modern,story,3
326,most,story,2
329,must,story,1
330,mxnet,story,1
331,mysterious,story,2
333,name,story,1
334,narrative,story,1
335,national,story,1
336,near,story,1
337,net,story,1
338,network,story,1
339,neutrality lawsuit,story,1
340,new,story,3
341,news,story,1
342,next,story,1
343,not,story,1
344,notebook,story,1
345,now,story,1
346,object,story,1
347,obtain,story,1
348,of,story,14
349,ok,story,1
350,oke,story,1
351,old,story,1
352,on,story,4
353,onboarding,story,1
354,open,story,2
355,or,story,1
356,other,story,2
357,our,story,2
358,overblown,story,1
359,page,story,1
360,panic,story,1
361,part i,story,1
362,patch,story,1
363,pdf,story,2
364,people,story,4
366,phishing,story,1
367,photo,story,1
368,plan,story,1
369,platform,story,1
371,plirus,story,1
372,police,story,1
373,post,story,1
374,potter,story,1
375,private,story,1
376,problem,story,1
378,production,story,1
379,programmer,story,1
380,protest,story,1
381,protester,story,1
382,protocol development,story,1
383,pseudoscience,story,1
384,psychosis,story,1
385,pterosaur eggs,story,1
387,put,story,1
388,quality,story,1
389,r,story,1
390,rapid,story,1
391,rare,story,1
392,re,story,1
393,read,story,2
394,real,story,1
395,really,story,1
396,reasearchers,story,1
397,record,story,1
399,registrars,story,1
400,remove,story,1
401,render,story,1
403,require,story,1
404,resource,story,1
405,result,story,1
406,reversible,story,1
407,review,story,1
408,revisit,story,1
409,ripple,story,2
410,rise,story,2
411,rival,story,1
412,rna,story,1
413,rnastructuromedb,story,1
414,round,story,1
415,ruby,story,2
416,s,story,8
417,sad,story,1
418,safari,story,1
419,sagemaker,story,1
420,say,story,2
422,scale,story,1
423,scholar,story,1
424,scientific,story,2
425,scoring,story,1
427,script,story,1
428,search engine,story,1
429,self,story,2
430,sell,story,1
431,shop,story,1
432,short,story,1
433,should,story,1
436,side,story,1
438,simplecoin,story,1
439,site,story,1
440,skinner box,story,1
441,skylab,story,1
442,slide,story,1
443,slow,story,1
444,social,story,1
446,solve,story,1
447,some,story,1
448,source,story,1
449,spark models,story,1
450,spark,story,1
452,spectre,story,3
453,speed,story,1
454,spread,story,1
455,stake,story,1
456,stop,story,2
457,store,story,1
458,streamline,story,1
459,structural,story,1
460,structure,story,2
461,style,story,1
462,subdoc,story,1
464,supermarket,story,1
465,surge,story,1
467,t,story,2
468,table,story,1
469,tale,story,1
470,talk,story,1
471,taxi,story,1
472,teach,story,1
473,tech,story,1
475,technique,story,1
476,technological,story,1
478,terminal,story,1
480,that,story,2
482,the,story,22
483,therapy,story,1
485,they,story,1
486,thought,story,1
487,threat,story,1
489,time,story,2
491,to,story,15
492,tool,story,1
493,top,story,2
494,trailer parks,story,1
495,transmit,story,1
496,trap,story,1
497,trolley,story,1
498,turn,story,1
499,twitter,story,2
501,type,story,2
502,uber,story,2
503,ugly,story,1
504,underwater,story,1
505,unfold,story,1
506,university,story,1
507,untimely,story,1
508,update,story,1
509,urban,story,1
512,use,story,3
514,verification,story,1
515,vertical,story,1
516,video,story,3
517,vm,story,1
518,volcanic,story,1
519,volkswagen,story,1
522,wealth,story,1
523,web,story,1
524,weed,story,1
525,week,story,1
526,well,story,1
528,what,story,3
529,whats,story,1
531,when,story,2
532,why,story,2
533,wide,story,1
534,will,story,2
536,with,story,4
537,without,story,1
538,word features,story,1
541,work,story,1
542,world leaders,story,1
543,worth,story,1
545,x86,story,1
546,year,story,2
548,you,story,1
549,zuckerberg,story,1
