,Word,Class,Frequency
8,2018,show_hn,1
18,a,show_hn,1
22,acme,show_hn,1
26,ai,show_hn,1
31,altco,show_hn,1
72,blog,show_hn,1
82,browser,show_hn,1
101,chrome,show_hn,1
105,cixl,show_hn,1
119,contact,show_hn,1
130,crypto,show_hn,1
143,decently,show_hn,1
145,decentralize,show_hn,1
164,download,show_hn,1
180,event,show_hn,1
198,for,show_hn,1
205,game,show_hn,1
211,github,show_hn,1
218,graze,show_hn,1
225,haskell,show_hn,1
232,hn,show_hn,7
237,how,show_hn,1
251,in,show_hn,1
267,invoice,show_hn,1
283,language,show_hn,1
289,learn,show_hn,1
320,minimal,show_hn,1
327,mouse,show_hn,1
328,multiplayer,show_hn,1
370,play,show_hn,1
386,puppeteer,show_hn,1
426,script,show_hn,1
434,show,show_hn,7
435,sibylant,show_hn,1
437,simple,show_hn,1
463,summit,show_hn,1
481,the,show_hn,1
488,ticker,show_hn,1
500,type,show_hn,1
511,use,show_hn,1
520,w,show_hn,1
539,word,show_hn,1
540,work,show_hn,1
